id,sent0,label
63, Padam 1 st day kaanum athu urappu.,1
64, masss effect,1
65, من متى أعرفك اصلا حتى انساك,0
66, Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power,1
67, Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...,1
68, Costumes Irshad khan Cherukunnuijj Poli mutheeee,1
69, Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle,4
70, aaa last bhakam marana mass #mammookka,1
71, Happy  Birthday  Mammookka,0
72, mammokka thug life mashup,3
73, Big B 2 pole und,4
74, LALETTAAA MUTHEE POLICHU,1
75, Ee pennu evide poyaalum ithaanallo avastha..,3
76, Edhu kondu prethiraj neruthiyal Kollam,1
77, Ithipo kadha muzhuvan undalo ithilu ? ?,3
78, Mammotiyude look divasam kudunthorum kodi varikayannallo,1
79, Last black dress sredhichavar ivide like,3
80, Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,2
81, Padam pottum ennu urapulavarku evide like adikam,3
82, malayala sinimakkoru puthiya charithram pirakkatte !,1
83, Koora padam,2
84, Superb trailer I have ever seen,0
85, 3 millon views 208 k likes,0
86, Ennalum ente Idivettu suguna ninne ithilu kandillalo,2
87, Which trailer you like more.  1. #Mamangam  2. #Panipat,0
88, 1.33 - 1.40   mammuka rock's 🤘...,0
89, Oru  mikacha thriling movie aavum,1
90, Undakku shesham mammookayude adutha natural movie,1
91, Jayasurya chyuna a ella characters um pwoliya... Shaji pappen,1
92, Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum,1
93, apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??,3
94, Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.,1
95, YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa,3
96, K G F   DUBLE,0
97, Trailer I'll tannaayy full story uondu,1
98, Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu,1
99, Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam,1
100, Rajayude andhya kurbana chollan avan varunuu... #LUCIFER,3
101, Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu,1
102, Annum ennum ennum ikka mass 🤩🥰,1
103, vere level trailer and bgm gopi sunder musical,1
104, Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha,4
105, PASSING OF THE CROWN 'TRAILER' 1 | KGF Malayalam | Ft. Mohanlal | Nivin Pauly,0
106, E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..,1
107, Jelli kettinte trailer bgm pole ind,1
108, 50 pathu pravasham kandavar adi like,3
109, E traileril ntha chekutan undo,1
110, any one from nov 2 2k19,0
111, Adh suraj aanenn sound kett maathram kandpidichavar adi like..,3
112, 17 k view 119 k like 12 k dislike... ???,0
113, mallu students canada arelum? like here,3
114, kalakki Kalakki. Onnum parayan illa,1
115, Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.,1
116, L U C I F E R,3
117, Lucifer kaanan povunnathinu munpu trailer kaanan vannavar aarokke,3
118, Vere level of making nd lalettan was awesome,1
119, raja solathu tha Saiva ....saivathu mattumtha Dolla..#ikka fans,0
120, M  A  M  A  N  G  A  M,3
121, Looks like 2017 malyalam  movie  Y And  english movie Buried,0
122, Next Week china povan irikkana njan ithu kandeche njan povathullu,1
123, Dislike adichavarodu pucham maathram.. Lal fansine uddeshichu maathramanennu thettidarikallu ketto🤣,3
124, peter hein nte stunt ella cinema il um ore pattern aanallo,4
125, Thuvanathumbikalile jayakrishnane orma vannavar like adi,3
126, Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me,3
127, Ohoo mamooka powlikum ee jati tralier making kiduwee,1
128, Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii,3
129, Chicking ile freezer il poyi nokkiya mathi aale kittum,3
130, Onnum parayanilla. Vere leval movie ayirikkum,1
131, Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam,3
132, Lufier trailer kandu odiyan kandavar undo,3
133, Raju ettaaaa ningal Vera level,1
134, Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ,1
135, Late aayi vannalum latest aayi varuvenne,1
136, Woow woww wow,0
137, Lokal poyi Madhura raja teaser kanada,2
138, Oru marana mass chitramaavatte laleeta lucifer,1
139, Kuru potti olikknna 1k poojappura fans🤣🤣🤣,2
140, adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema,1
141, 17 K views 102 K like  10K dislike,0
142, Mohanlal prithvi fans like adik lucifer bamber hit akum,1
143, Jayasurya mass after long time.podi pooram,1
144, Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu,1
145, Ettante lucifer 100 cr club kadakumm enn parayunnavar like adicheee,3
146, Laalettan fans only hit likes here,3
147, Kure per dislike adich kuru pottikkunnund,2
148, Dislike adechath alla punnara makkalum anta veral നമസ്കാരം,2
149, Jagapathi Babu  a Telugu fan here.,0
150, 2n part or kuch related kahani nxt hota acha lagta fans ko,0
151, Fight dialoge bgm oru rakshayum illa,1
152, 3 million   ettanum pillerum,3
153, Ithu rajayude 3 strong Alla ettande Lucifer,4
154, E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu,1
155, Samyuktha vendayirunnu. :(  Aishu pwoli ann,2
156, Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,2
157, Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu,2
158, JAI LUCIFER JAI LALETTAN JAI PRITHWI,1
159, Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck,1
160, MAMMOKKENTE ( BIG B2=BILAL )veranam ennu agraham ullavar undoo,3
161, Bro support koduthilenkilum dislike adikkathirunoode .,2
162, Aaa kochu edhaaa real fighter kannukalile theepori kidu,3
163, You use bots for likes and views,0
164, swandam recordukal thanne thiruthunaa  nadan pulimuruganekal odane daivame,3
165, Suraj ettan fans fans like ivide,1
166, Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa,1
167, 3 * 2 strong............... Rajuvettaaaaa u nailed it,0
168, E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰,1
169, ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya,2
170, Ee trailer kandapo KGF ormavanavar  adikk...,3
171, Ith oru onnonnara item aayrikkum,1
172, Njan mammoty fan Ann pakshe enikk ishtapettu,1
173, Pirates of carbien aarum kanditilananu mone ninte vicharam,2
174, Ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum,3
175, Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli,1
176, Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale,1
177, japan ne kali aakan maathram nammal aayitilla suraj ettaa :/,3
178, im a katta lalettan fan....but ithu hit aaakanam..heavy,1
179, Katta vishayam oru rekshem illa etta fdfs,1
180, Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,2
181, Oru dubbing padathinte trailer pole.  kidu,1
182, Myarakam ikka  Hollywood direction and visuals,1
183, Mommookka mass entry....        By a lalettan bhakthan....,0
184, Ini kando... Adiude Ideude Vedi pooram......🧨🧨,1
185, Innu trailer'um,3
186, Aa kannukal mathram mathi a character depth mansilkan laletta.....,1
187, Trailer Oru rakshyum illa adi poli jayettan takarkkum,1
188, Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve,3
189, Waiting  from  die hard rajuvetan fan..,0
190, Ee Padam Kolamavukayaanengil it will be because of Peter hein,2
191, Movide peru kandu dislike adikaan vannatha,1
192, Avalude name veykkunille avar lead cheyyunna film alle..,2
193, 6000 suscribe ulladhil itt 22k suscribe414kview 91k like aaaakiyya ikka mass,3
194, Kidu bgm for ikka kidu movie super,1
195, MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....,1
196, Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru,3
197, Deleep atta padam orappu maga hit,1
198, ee padam 8 nilayil podannamennju prarthikunnju,2
199, Ikka i lv uuuuu big screen kandolan waitinggggg,1
200, Ee padam hit aakum ennu orappullavar enik oru 100 like taa,3
201, trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu,4
202, Ayye poraaa.... lalettan nu role ille??,2
203, Vineethangil adu supero super chodikanundo allea vineetheaaa,1
204, Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka,1
205, Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu,1
206, Enta ponno ikka kalakum van trailer,1
207, Entammo ikka powli powli ...heavy item,1
208, Ee trailer vachaaanooo luciferinodu muttaan varunnath,2
209, Odiyan 2D Animated trailer,0
210, 16 k views  55 k likes,3
211, 11million aayo enn nokaan varunnavarundo ??,3
212, Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan,1
213, Inn ni8 full repeat adich kanan ponavar ivide like adicholu,1
214, Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie,1
215, Edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath....?,3
216, Just 1min      etra per page il und,3
217, Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super,1
218, Moood poyi mood poyi aa sabune kandappol mood poyi,2
219, Dislike adicha pullanmarude mugathulla adiyavatte oro likum,2
220, Ekka @ madhura Raja and lalettan @ Lucifer... 2 padam iragan pokuvane...oru tight competition prethishikkunnu,3
221, @02:19 Ee scene theatril polikkum .... Lalettta :):>3,1
222, njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm,1
223, Vivek oberoi best villan powli 🤩🤩🤩,1
224, E trailer 5 il kooduthal kandavar like,3
225, Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu,1
226, Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla,1
227, Ambooo Roman ezunettu  EPIC loading,1
228, Powlii powlii...last dialogue comedy anenkilu kidlm tyming,1
229, Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam,1
230, Trailernu katta wait cheythirikkunna ethra aalundu ivide,1
231, Kashttamund!! Paavam chinnane enthina konne???Rakshapeduthi koodarunno?Minister Rajayil chinnane pratheekshikkunnu...  Chinnaraja fans adi like!!!,3
232, Happy birthday  day my mammookka,0
233, oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach,1
234, Priya kuttoos nte teaser aayinankilu eppaze million views aavateenum,3
235, Aa last nadatham kanditt best actor orma vanna arelum undo..?,3
236, Ente ichayooo....  Athre parayunnulluuu.... Ennu manasil karuthiyavar hit like here.....,3
237, Police ill minimum  hight elle  Aju oke police,2
238, 500k enn paranjitt 410k ullollo real time views 🤣,3
239, Lalettane prathheeshich ithuvazhi vannavar like,3
240, Orika kanda veendum veendum kanan thonnum..,1
241, Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..,3
242, Haavu samadaanamaayi  Editor mahesh narayanan,3
243, Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn,2
244, EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu,1
245, Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!,3
246, ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha,1
247, Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta,1
248, Uff mwonr kinnam kaachya item,1
249, Appo nayakan mammukka alley.....e piller aaaana,3
250, madhura rajayum  usharavatte ...from a lalettan fan .,1
251, CHANDU vine orma vannavar ivde common,3
252, Sambavam kollam but,4
253, Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,1
254, Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......,1
255, Please Upload moha mundiri video song,3
256, Ee padam kand chirich pandaram adangi,1
257, Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla,2
258, Trailer kandapol bahubali orthavar like adi,3
259, Hvy iteam,1
260, 212k views,3
261, Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*,1
262, Fight vere level teateril paper kure keerendi varum ichayoooo,1
263, Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21,1
264, Ethilum valiya masSs eni ella  Padam 100 crore loading,1
265, Cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano?,3
266, E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best,4
267, mammookkayude scenes pause cheytu kandavar arokke undu,3
268, mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty Anu,3
269, Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....,2
270, Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi,1
271, Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting,1
272, 69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa,1
273, Releasinte aan thanne pokum ennu   Urappullavar adi like,3
274, lalettan marana mass..intha movie bayangara hit adikkum...love from tamilnadu,0
275, Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu,1
276, Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,2
277, Vineeth sreenivasan presents,1
278, Unni Mukundan fans like here,0
279, Ikkaye kanan vendi mathram fdfs urapichavar like,1
280, Ente ikkkaaaa kola mass YouTube hang aanu makkale,1
281, Gopi Sundar and ikka fan from malappuram,0
282, Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....,2
283, yeshu das saarinte oru song ithil pratheekshikkaavo,3
284, 1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan,1
285, #HAPPY BIRTHDAY   |  SULTHAN OF MALAYALAM CINEMA | #MAMMOOKKA,0
286, 8hr 2 million viewers one name laletan ...n prithvy,0
287, Lucifer pola nalla oru padam avatte,1
288, 10M adikkum ennullavar aadhyam like onn adiche,3
289, Negative aayi onmilla   eattn polikm,1
290, Njan mathram ano padam kand വന്നു veendum trailer edth noki veendum padam kanan poyathangane പോയവര്‍ അടി like,3
291, 2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess???,3
292, Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike,1
293, Nice,0
294, Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..,1
295, Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all,2
296, Ambooo  Ettan kidu acting  Raju Ettan poli making,1
297, onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩,1
298, Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing,1
299, Ejjati item ettan pwolikkum all the best raju etta,1
300, Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...,1
301, Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo,3
302, After 1M views & 150K likes,0
303, Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu,3
304, Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣,4
305, 10 million ayo ennu nokkan varunnavar like adi,3
306, Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo,2
307, Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo,3
308, Trilar kanditt padam. Valiya pratheeksha illaa,4
309, Wtng laletta...,4
310, Looks like netflix series oru film aayi coloring Mach aavunnilla,2
311, ooro secondum mmakkayude entrik vendi waiting aayirunnu,1
312, Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko,3
313, tovinok pakaram unni mukundan mathiyarunnu....,4
314, Panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi ....Pinne joraa,3
315, Soundil  kurachukoodi  bass koodi  undayinnel kidilan,4
316, Lalettaa & Rajuettaa go ahead,0
317, Love you mammoookhaa.... Mammookha fans hit like,0
318, Lalettan faanan but ee trailer kidukki tto,1
319, Adipoli,1
320, Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka,1
321, Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn,1
322, Prathviraaj,1
323, Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....,3
324, Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu,1
325, suraaj  looks like our kunjunni mash......,0
326, Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane,1
327, Veruthayayi kashu poyi pratheeshyode arum pokaruthe,2
328, Super mega hit aaayirikkum  mark,1
329, Aaaa mundum pookal shirtum vere arund ithra look,1
330, Trailer kidukki..film ith pole nannaya mathiyarnnu.,1
331, Njan maathramano comment nu like  kittiyo enn veendum veendum nokkunnath,3
332, Enta ponno ithu verae level Iove u ikka,1
333, Uff  ente ponoo wait chyan vayye ikka,3
334, Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..,3
335, Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo,1
336, Njan oru mohanlaal fana   Pakshe ith vallathore vishayam filim aaairikkkum,3
337, Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS,1
338, Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE,4
339, Super star rajini sir fans hit likes,0
340, 0:15 aa musicinu vendi wait cheyyuva,0
341, Makkale onnum nokkanda ninghal vanna bakkam enna 1:54,3
342, Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....,3
343, Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...,1
344, 173k views and 173k likes bakki kore mammunni fans 18k,2
345, Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi,2
346, Hit like if you are lalettan's fan,0
347, Trailer kand  romanjam  Vanna ettan  fans like adikn,1
348, ithu oru 5 million views aakkanam..,3
349, Mohanlal looks like as he was in jilla....,0
350, Thrissur slang paliyenn thonnunnath enikk mathramano?,2
351, America atom bomb itittu thirnilaaa pinaa allee bengalikal!!!!!,3
352, Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla,1
353, Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode,1
354, Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.,1
355, Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣,2
356, Padam pottum... Charithram akanamenkil marakkar varanam,2
357, Prithviraj. Nighal oru marana mass sambavam,1
358, Kerala die hard mohanlal fans like here,0
359, Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam,2
360, Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan,3
361, Katta waiting madura raja mammokka kidu mass,1
362, Tamil Nadu Mohan lal fans hit like,0
363, Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop,2
364, pora,2
365, Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa,2
366, Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam,1
367, Cinema iragiyittum view cheyyunnavar like adi,3
368, then : kanji adukkatte manikya       now : Kill that bastard    sivane! :/,3
369, Prithiraje than ee pani nirthiko enthon kopile padamado,2
370, Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..,1
371, Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde  Villan dadygirija same   Athe irutham,4
372, Cinema vizag kandu... Polichu ... Super duper hit,1
373, Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda,2
374, Poster kanditt feel good anenn karuthi kanathe vitu,1
375, Mammootty fans polum like adichu pokum adaru trailer,1
376, Lucifer onnil kooduthal thavana kandavar onnu like adikku ...,3
377, Havy havy super super kidu kidu 🤘🤘,1
378, Trailer oru rashilla kili poyi laletta poli anitta,1
379, Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra,1
380, Raja returnssss makkale....ithu marana mass padamaayirikkum,1
381, Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por,1
382, endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki,1
383, Theriyumile,3
384, Oru BEST ACTOR feel enikk maatramaano adiche,3
385, Lalettante ittimanikk...njanga ikkayude piller vaka best of luck,1
386, Antony perumbavor undaya monemarayirikum dislike adikunath,3
387, Heavy trailer,1
388, Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu,1
389, Police ne kuttam parayuna,2
390, kidu  katta waiting    mamamookkaaaa,1
391, Ittimani  mass ahnn manasuman,3
392, Pls pls pls dub in hindi,0
393, Raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum,3
394, Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa,1
395, trailer powli aayi.cinemayum angane thanne aavum enn pratheekshikkunnu,1
396, Nanmayum nanmayum thammilalla yudhamThinmayum thinmayum thammilaa yudham,3
397, 7m subcribesundayittum 3.9m views 5m yethikku plz kandavar onnum kudi kaanuga,3
398, Aathirapilli pls step back plz Mammookkaa..,0
399, Enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu.,1
400, Njan mathram aano sunny chechiyee kaanan vannath  Sunny chechi uyir,1
401, Super trailer avasanathe idi super  But BGM pulimurugan copy,4
402, Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....,1
403, Neerali,1
404, Mammookka Nte Look Vere Level,1
405, Etha sherikum Puli Murugan polla udaa,4
406, Dis like idunna mammuny fansukrude pratheka sradhkku.raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda,2
407, Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum  Ivanu ore oru pereyyllu.....raja,1
408, WE ARE WAITING FOR DERIC ABRAHAM,0
409, ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa,1
410, Nice...ikka mass   . All th bst #lalettan fan,1
411, Kerala puthya keralam ayrkum but bilal pazya bilal tahneee... ikka,3
412, Yudham Nanmayum Thinmayum thammilalla.....  Thinmayum Thinmayum thammilanu..,3
413, Dislike അടിച്ചു കുരു pottikkunnavarkk kurupottalaathi kodukkapedum    തള്ള് മൂപ്പൻ,2
414, Views 25k aayitolu.. but like 77k  youtubine vattayo...,3
415, I am കട്ട  waiting for ഒടിയൻ,1
416, Vishukk entha special enn aarelum chodichaal ad madhuraraaja aanenn paranjeer,1
417, Mohanlal sir masss..... I am tamilnadu fan,0
418, Mammookka fans inu like adikkan ulla comment,3
419, Titles look like HOBBS'S AND SHAW'S FAST AND FURIOUS,0
420, Etu lucifere polichu adukum...... Raja return daa.....,1
421, Ikka muthanu ...prayam koodunthorum kooduthal monjan......,1
422, Trailer Kandu thudangyalo 7.9M views aarunu. Kandu kazinjapo 8M aayi! 🤯,3
423, CHEKUTHANMARUDE RAJAVU LUCIFER @lalettan @rajuvettan #romanchification,3
